GDLIN,OBRAT,BLACK,HISPAN,MARRIED,LOANPRC,fit,se.fit
0,76,1,0,0,75.44244799788136,0.04154025073957904,0.024954925788559415
0,77,1,0,0,75.44244799788136,0.04026947715433069,0.02474074834722802
0,78,1,0,0,75.44244799788136,0.039030460800394545,0.02451976234796721
0,79,1,0,0,75.44244799788136,0.03782266138558494,0.024292098506167207
0,80,1,0,0,75.44244799788136,0.03664553930251571,0.024057911525301522
0,81,1,0,0,75.44244799788136,0.03549855594643675,0.023817377564124345
0,82,1,0,0,75.44244799788136,0.0343811740241676,0.02357069186735363
0,83,1,0,0,75.44244799788136,0.03329285785403632,0.023318066551775506
0,84,1,0,0,75.44244799788136,0.032233073656743425,0.023059728539727
0,85,1,0,0,75.44244799788136,0.03120128983708538,0.022795917632044062
0,86,1,0,0,75.44244799788136,0.03019697725648547,0.02252688471276664
